age,child_number,family_size,income,living_minimum,study_certificate,isEgisso,service_108,service_116
6,2,3,86952,15428,0,0,0,0
14,1,3,16578,15428,0,0,1,0
10,1,3,35871,15428,0,0,1,0
7,3,4,82773,15428,0,1,0,0
6,1,5,36566,15428,0,1,0,0
18,1,3,42187,15428,0,0,0,0
10,2,3,60143,15428,0,0,0,0
10,1,4,49862,15428,0,0,1,0
3,1,3,60867,15428,0,0,0,0
7,1,4,74695,15428,0,0,0,0
2,2,5,84000,15428,0,1,0,0
1,1,3,45330,15428,0,1,0,0
11,3,5,81009,15428,0,0,1,0
5,2,4,21676,15428,0,0,1,0
1,1,4,76551,15428,0,1,0,0
0,1,3,13331,15428,0,1,0,0
11,1,2,20067,15428,0,1,0,0
11,1,5,20315,15428,0,1,0,0
16,2,5,86130,15428,1,0,0,0
9,3,4,56921,15428,0,1,0,0
15,1,2,33565,15428,0,1,0,0
14,2,4,99143,15428,0,0,0,0
14,1,5,28453,15428,0,0,1,0
18,2,4,57592,15428,1,0,1,0
11,1,2,95527,15428,0,0,0,0
2,3,5,23834,15428,0,0,1,1
4,1,2,20195,15428,0,1,0,0
18,2,4,36183,15428,1,1,0,0
6,1,2,98988,15428,0,0,0,0
8,1,2,44504,15428,0,0,0,0
6,4,5,14133,15428,0,1,0,0
17,1,2,38101,15428,0,0,0,0
3,1,3,25323,15428,0,0,1,0
13,1,3,32617,15428,0,0,1,0
17,3,5,31119,15428,0,0,0,0
8,1,2,60611,15428,0,0,0,0
1,1,2,16715,15428,0,0,1,0
14,3,5,88650,15428,0,0,0,0
6,4,5,47102,15428,0,0,1,0
11,1,4,68458,15428,0,0,0,0
7,1,3,62215,15428,0,1,0,0
14,2,3,24858,15428,0,1,0,0
2,4,5,58016,15428,0,1,0,1
13,2,5,62833,15428,0,1,0,0
16,1,3,94018,15428,1,0,0,0
3,1,4,50639,15428,0,1,0,0
17,1,4,24805,15428,1,1,0,0
7,2,3,47588,15428,0,0,1,0
3,3,4,84956,15428,0,0,0,0
1,1,2,68209,15428,0,0,0,0
5,1,2,83525,15428,0,0,0,0
9,4,5,67706,15428,0,0,1,0
3,2,4,96521,15428,0,1,0,0
17,1,3,98567,15428,1,1,0,0
11,1,2,78358,15428,0,0,0,0
1,1,3,79087,15428,0,1,0,0
9,1,2,58652,15428,0,1,0,0
3,2,4,18799,15428,0,1,0,0
13,1,2,27784,15428,0,0,1,0
15,2,3,41314,15428,0,1,0,0
14,1,2,37947,15428,0,0,0,0
7,4,5,43319,15428,0,0,1,0
13,1,3,34772,15428,0,1,0,0
7,2,3,95531,15428,0,0,0,0
15,1,2,45920,15428,0,0,0,0
12,1,2,78391,15428,0,1,0,0
17,3,4,32621,15428,0,1,0,0
14,1,4,67021,15428,0,1,0,0
12,3,5,43594,15428,0,0,1,0
8,3,5,71450,15428,0,0,1,0
14,1,2,39804,15428,0,0,0,0
12,1,2,13939,15428,0,1,0,0
0,2,4,10393,15428,0,0,1,0
6,1,2,81827,15428,0,1,0,0
8,1,2,98477,15428,0,0,0,0
0,2,3,52338,15428,0,1,0,0
11,2,3,59887,15428,0,0,0,0
7,2,4,74562,15428,0,0,0,0
10,2,3,40393,15428,0,1,0,0
18,2,3,77070,15428,1,1,0,0
16,1,2,55835,15428,1,1,0,0
7,2,3,81558,15428,0,1,0,0
2,1,2,91051,15428,0,0,0,0
2,4,5,22652,15428,0,0,1,1
0,2,3,39066,15428,0,1,0,0
4,2,3,49521,15428,0,0,1,0
9,2,3,15707,15428,0,1,0,0
6,2,4,52827,15428,0,0,1,0
8,2,4,11038,15428,0,1,0,0
6,1,2,57029,15428,0,1,0,0
8,2,4,55991,15428,0,0,1,0
7,1,3,80674,15428,0,1,0,0
11,1,2,44471,15428,0,1,0,0
1,3,4,90308,15428,0,1,0,1
0,2,3,10649,15428,0,1,0,0
15,1,4,48599,15428,0,1,0,0
4,2,5,51877,15428,0,1,0,0
2,1,5,87332,15428,0,1,0,0
11,2,4,28067,15428,0,0,1,0
7,2,3,17876,15428,0,1,0,0
2,1,5,80776,15428,0,1,0,0
0,1,3,54152,15428,0,0,0,0
2,1,5,23466,15428,0,1,0,0
4,1,2,67450,15428,0,0,0,0
14,3,5,86320,15428,0,1,0,0
13,1,2,95081,15428,0,1,0,0
2,1,2,70534,15428,0,0,0,0
0,1,3,55197,15428,0,0,0,0
4,1,2,90341,15428,0,0,0,0
13,2,5,50811,15428,0,0,1,0
6,2,4,16815,15428,0,0,1,0
8,2,3,49946,15428,0,1,0,0
14,4,5,66181,15428,0,0,1,0
14,2,5,26869,15428,0,1,0,0
9,1,2,36569,15428,0,1,0,0
12,1,2,13965,15428,0,1,0,0
18,2,3,17026,15428,1,1,0,0
6,1,2,49027,15428,0,1,0,0
16,2,3,22864,15428,0,0,0,0
3,2,4,89024,15428,0,1,0,0
4,2,3,10605,15428,0,1,0,0
6,1,3,86705,15428,0,0,0,0
12,3,5,87372,15428,0,0,0,0
14,1,2,72046,15428,0,0,0,0
10,2,3,10422,15428,0,0,1,0
3,2,3,39289,15428,0,0,1,0
12,1,5,28353,15428,0,0,1,0
6,1,2,51451,15428,0,0,0,0
18,2,3,36090,15428,1,1,0,0
1,2,3,89645,15428,0,0,0,0
9,3,5,42879,15428,0,0,1,0
12,3,5,72104,15428,0,1,0,0
5,3,4,24644,15428,0,1,0,0
11,1,3,80967,15428,0,1,0,0
11,1,2,23340,15428,0,1,0,0
10,2,4,32439,15428,0,0,1,0
6,4,5,78928,15428,0,1,0,0
0,1,4,39364,15428,0,0,1,0
0,1,4,10372,15428,0,1,0,0
12,2,3,40800,15428,0,1,0,0
8,4,5,28953,15428,0,0,1,0
2,2,3,59920,15428,0,0,0,0
6,3,4,62174,15428,0,0,1,0
5,2,4,59550,15428,0,1,0,0
7,1,2,24249,15428,0,1,0,0
8,1,2,12885,15428,0,1,0,0
4,2,3,93181,15428,0,0,0,0
0,2,4,87853,15428,0,0,0,0
18,3,5,84869,15428,1,0,0,0
9,1,5,27947,15428,0,1,0,0
11,1,2,28537,15428,0,0,1,0
14,2,3,46126,15428,0,0,1,0
8,2,3,98336,15428,0,0,0,0
16,2,3,44772,15428,0,0,0,0
16,1,4,52801,15428,0,1,0,0
11,1,2,36034,15428,0,1,0,0
6,1,3,90982,15428,0,1,0,0
1,1,3,36306,15428,0,0,1,0
2,4,5,46187,15428,0,1,0,1
16,1,5,78304,15428,0,0,0,0
4,1,2,68724,15428,0,1,0,0
16,3,4,93981,15428,0,0,0,0
16,1,3,48351,15428,1,0,1,0
16,1,2,13842,15428,1,0,1,0
1,1,2,43988,15428,0,1,0,0
1,2,3,71637,15428,0,1,0,0
4,3,4,18030,15428,0,1,0,0
0,1,3,45318,15428,0,1,0,0
0,1,4,45139,15428,0,1,0,0
18,1,2,49542,15428,1,1,0,0
1,1,4,57042,15428,0,1,0,0
11,1,3,86091,15428,0,0,0,0
5,1,2,86518,15428,0,1,0,0
3,2,5,87922,15428,0,0,0,0
10,1,3,70026,15428,0,1,0,0
16,1,5,87238,15428,0,0,0,0
5,1,2,57812,15428,0,0,0,0
4,1,2,55645,15428,0,1,0,0
1,1,3,58758,15428,0,1,0,0
5,1,3,49937,15428,0,0,1,0
10,3,4,33037,15428,0,1,0,0
15,1,2,76691,15428,0,1,0,0
15,1,2,32121,15428,0,1,0,0
0,3,5,66715,15428,0,1,0,1
8,1,2,39836,15428,0,0,0,0
5,1,3,13203,15428,0,1,0,0
15,1,2,45358,15428,0,1,0,0
2,3,4,25787,15428,0,1,0,1
3,1,3,26695,15428,0,1,0,0
18,2,3,26133,15428,1,0,1,0
2,2,4,99542,15428,0,0,0,0
18,2,3,67041,15428,0,0,0,0
6,1,2,72705,15428,0,1,0,0
8,3,5,42869,15428,0,0,1,0
0,3,5,36354,15428,0,1,0,1
7,1,4,65005,15428,0,1,0,0
6,1,2,63069,15428,0,1,0,0
17,2,4,33907,15428,0,0,0,0
7,1,3,75803,15428,0,0,0,0
0,1,3,16575,15428,0,0,1,0
10,1,3,29757,15428,0,1,0,0
17,2,4,52392,15428,1,0,1,0
9,2,5,53049,15428,0,0,1,0
2,1,3,71181,15428,0,1,0,0
6,1,4,96653,15428,0,1,0,0
15,1,2,62554,15428,0,0,0,0
15,2,3,77096,15428,0,0,0,0
16,1,3,39264,15428,1,1,0,0
1,3,4,58489,15428,0,0,1,1
0,2,3,66795,15428,0,0,0,0
15,1,2,35711,15428,0,0,0,0
11,1,5,85773,15428,0,0,0,0
4,2,3,54257,15428,0,1,0,0
4,1,2,75263,15428,0,0,0,0
8,1,2,79745,15428,0,0,0,0
8,2,3,61763,15428,0,1,0,0
2,2,4,52580,15428,0,0,1,0
18,4,5,98121,15428,1,0,0,0
15,2,4,43208,15428,0,0,1,0
15,2,4,26071,15428,0,0,1,0
2,1,5,57043,15428,0,1,0,0
0,2,5,26129,15428,0,1,0,0
10,2,5,52790,15428,0,1,0,0
16,2,3,64006,15428,0,0,0,0
7,1,3,36434,15428,0,1,0,0
3,1,2,51711,15428,0,1,0,0
5,4,5,35197,15428,0,1,0,0
