age,child_number,family_size,income_childEveryMonthPosob_Oro,income_edvThirdChild,study_certificate,service_108,service_116
3,1,3,58204.43,65496.23,0,0,0
6,3,5,122057.72,202655.22,0,0,0
8,3,4,60781.67,98739.76,0,1,0
0,4,6,67451.43,214341.90,0,1,0
10,4,5,75619.40,91356.03,0,1,0
17,4,5,95582.55,108662.77,1,0,0
6,2,9,187245.02,474148.75,0,0,0
1,1,4,110198.29,110211.74,0,0,0
4,2,4,60180.43,125440.85,0,1,0
15,1,3,48224.12,188254.66,0,1,0
7,1,4,74280.08,104905.93,0,0,0
3,1,3,25133.09,58761.31,0,1,0
5,1,4,53192.16,177195.28,0,1,0
1,2,3,35535.83,67543.12,0,1,0
14,2,6,119781.67,98046.31,0,0,0
5,2,3,57033.01,91836.23,0,0,0
14,1,3,43274.50,127901.48,0,1,0
1,1,4,65508.68,121954.82,0,1,0
5,4,6,146109.83,251351.99,0,0,0
14,1,3,65970.04,74899.34,0,0,0
0,3,4,20291.92,197002.05,0,1,0
3,2,5,172640.96,83121.51,0,0,0
3,4,6,200902.95,221060.08,0,0,0
2,1,3,26986.73,87480.46,0,1,0
16,1,4,59504.72,105662.82,1,1,0
14,1,3,62232.17,86215.98,0,0,0
6,2,4,51626.92,245790.85,0,1,0
11,3,4,82457.47,92752.85,0,0,0
6,1,3,91590.46,78635.98,0,0,0
1,4,5,96970.46,253031.00,0,0,0
3,1,2,38628.14,102913.90,0,0,0
4,3,5,159862.59,156498.04,0,0,0
14,1,2,70337.53,37307.25,0,0,0
1,1,2,43385.50,57835.58,0,0,0
0,2,4,90009.91,144391.83,0,0,0
10,1,3,76159.09,95186.85,0,0,0
4,2,5,159863.28,175723.41,0,0,0
1,1,6,88542.64,201212.94,0,1,0
13,5,7,93605.37,133641.26,0,1,0
14,1,4,61305.02,204215.56,0,1,0
17,1,2,36057.99,80427.70,1,0,0
1,1,2,44140.22,33421.83,0,0,0
1,1,3,57898.85,75340.21,0,0,0
3,2,4,73227.47,156566.33,0,0,0
10,5,6,73163.65,224653.37,0,1,0
8,1,4,46903.38,271151.12,0,1,0
7,1,2,24533.76,94435.32,0,1,0
3,1,3,40350.08,101338.62,0,1,0
15,2,5,119490.13,80306.70,0,0,0
8,2,4,143383.32,235152.54,0,0,0
9,3,6,259182.35,136264.83,0,0,0
4,1,6,86052.07,92583.10,0,1,0
11,1,3,42927.23,61982.35,0,1,0
6,1,2,46474.03,132440.99,0,0,0
7,1,3,26167.64,166359.22,0,1,0
6,3,4,52869.49,130534.90,0,1,0
14,1,3,64864.11,163607.43,0,0,0
9,1,3,73389.72,106057.50,0,0,0
11,1,5,81786.59,254209.15,0,1,0
7,1,3,29486.48,73282.00,0,1,0
1,1,4,65147.64,113928.80,0,1,0
6,2,10,164622.14,526125.96,0,1,0
11,1,4,68606.45,96962.14,0,0,0
14,1,3,73023.86,128772.77,0,0,0
1,2,5,101968.89,206877.50,0,0,0
7,4,8,134967.67,238332.60,0,1,0
8,1,2,27312.67,27707.91,0,1,0
17,1,3,35121.59,182778.61,1,1,0
10,2,4,88636.59,122674.59,0,0,0
11,1,4,75652.13,76437.57,0,0,0
16,1,3,90167.48,168094.31,1,0,0
5,3,5,68623.59,179790.80,0,1,0
2,1,3,36969.91,113293.02,0,1,0
15,3,5,118602.42,146116.36,0,0,0
13,1,3,62033.25,66505.61,0,0,0
16,1,3,86893.17,129360.01,1,0,0
9,1,2,19170.30,67265.81,0,1,0
9,1,2,52725.79,60735.93,0,0,0
8,4,6,110376.36,174951.66,0,0,0
6,1,3,33159.04,132753.99,0,1,0
0,1,4,66706.84,143211.71,0,1,0
7,1,2,42384.51,42109.57,0,0,0
9,1,6,75837.41,182726.69,0,1,0
12,1,3,90383.87,64777.69,0,0,0
9,2,5,108239.81,143151.96,0,0,0
15,3,5,65150.35,123843.75,0,1,0
10,4,6,132390.50,203971.51,0,0,0
16,2,4,50015.59,126056.16,1,1,0
15,2,6,71141.91,381988.19,0,1,0
0,1,3,36621.09,86887.52,0,1,0
16,1,5,64296.61,175653.15,1,1,0
9,2,3,85039.03,90438.99,0,0,0
12,1,3,36934.07,121335.54,0,1,0
1,1,4,70508.10,127425.70,0,0,0
17,1,3,28131.26,143965.00,1,1,0
11,2,4,131001.30,104183.05,0,0,0
